iter	Passed	Remaining
408	4980	1108
409	4994	1096
410	5007	1084
411	5019	1072
412	5032	1060
413	5048	1048
414	5064	1037
415	5074	1024
416	5086	1012
417	5101	1000
418	5115	988
419	5125	976
420	5140	964
421	5154	952
422	5169	940
423	5179	928
424	5193	916
425	5203	903
426	5212	891
427	5225	879
428	5234	866
429	5251	854
430	5264	842
431	5272	829
432	5280	817
433	5292	804
434	5304	792
435	5320	781
436	5334	769
437	5348	757
438	5364	745
439	5377	733
440	5389	721
441	5404	709
442	5414	696
443	5431	685
444	5448	673
445	5460	661
446	5474	649
447	5483	636
448	5499	624
449	5509	612
450	5522	600
451	5539	588
452	5553	576
453	5569	564
454	5581	552
455	5597	540
456	5610	527
457	5624	515
458	5636	503
459	5650	491
460	5667	479
461	5683	467
462	5697	455
463	5707	442
464	5723	430
465	5737	418
466	5752	406
467	5767	394
468	5778	381
469	5789	369
470	5804	357
471	5817	345
472	5833	333
473	5849	320
474	5860	308
475	5870	295
476	5886	283
477	5896	271
478	5907	258
479	5917	246
480	5933	234
481	5942	221
482	5953	209
483	5967	197
484	5982	185
485	5996	172
486	6011	160
487	6025	148
488	6038	135
489	6051	123
490	6063	111
491	6076	98
492	6090	86
493	6103	74
494	6119	61
495	6132	49
496	6140	37
497	6154	24
498	6168	12
499	6183	0
