iter	Logloss
0	0.6356920307
1	0.5859544057
2	0.5501772459
3	0.5186264145
4	0.4988506872
5	0.4829054977
6	0.4664256718
7	0.4472673582
8	0.4367962831
9	0.4240365646
10	0.4121048573
11	0.3981181378
12	0.3898030071
13	0.382760597
14	0.3730654738
15	0.3659684904
16	0.3612985971
17	0.3552232155
18	0.3495343833
19	0.3448634781
20	0.3385780798
21	0.3342078913
22	0.3308390048
23	0.3259355205
24	0.3209999085
25	0.3183610093
26	0.313744224
27	0.3065310759
28	0.3034337376
29	0.2976826533
30	0.2925070185
31	0.2875455357
32	0.2827305238
33	0.280753338
34	0.276583734
35	0.27436029
36	0.2716065843
37	0.2696996858
38	0.2665628313
39	0.2628287464
40	0.2608150949
41	0.2582280927
42	0.2560392829
43	0.2547696125
44	0.2518535979
45	0.2493508443
46	0.2493216913
47	0.2468535464
48	0.2455519299
49	0.2435216758
50	0.2408248683
51	0.2392289524
52	0.2368137422
53	0.234327348
54	0.228599777
55	0.225233836
56	0.223810305
57	0.2210763566
58	0.2197686695
59	0.2178407516
60	0.2155162385
61	0.2139241981
62	0.2128928365
63	0.2123209378
64	0.2104609361
65	0.2091535243
66	0.2070115941
67	0.2051461157
68	0.2033494348
69	0.2012018367
70	0.1994449024
71	0.1981805493
72	0.1963514394
73	0.1940806311
74	0.1927057829
75	0.1910365771
76	0.1894144668
77	0.1885344321
78	0.1848368031
79	0.1827458659
80	0.1808260371
81	0.1792861472
82	0.1775149518
83	0.175899562
84	0.1745687459
85	0.1733539554
86	0.1733110961
87	0.172291939
88	0.1713282389
89	0.1701909281
90	0.1690679776
91	0.1678563846
92	0.1665150661
93	0.1650722341
94	0.1641486443
95	0.1627802622
96	0.1618429538
97	0.1609902018
98	0.1601753039
99	0.1595028457
100	0.1582109548
101	0.1572801669
102	0.1565844795
103	0.1554529017
104	0.1548203435
105	0.1542540294
106	0.153218184
107	0.152126468
108	0.1508409016
109	0.1499057242
110	0.1489597489
111	0.1476532955
112	0.1471614794
113	0.1465637836
114	0.145273472
115	0.1438180405
116	0.140860221
117	0.1402320125
118	0.1391270964
119	0.138746372
120	0.1382059779
121	0.1374251268
122	0.1366021598
123	0.135764954
124	0.1351348413
125	0.1333594267
126	0.1324487895
127	0.1318525756
128	0.1312618446
129	0.1307765172
130	0.1302209291
131	0.1295239618
132	0.1286403792
133	0.1277440932
134	0.1270408471
135	0.1262265152
136	0.124903946
137	0.1236667565
138	0.1225944283
139	0.1217136482
140	0.1211712591
141	0.119609503
142	0.1182599217
143	0.1176399386
144	0.1168766651
145	0.1160448065
146	0.1155429866
147	0.1148606953
148	0.1143394601
149	0.1136730043
150	0.1131772984
151	0.1126594348
152	0.111748685
153	0.1107884354
154	0.1101907917
155	0.1095143939
156	0.1089653894
157	0.1084607007
158	0.1079762298
159	0.1076179375
160	0.1065259172
161	0.1059885553
162	0.105011969
163	0.1044004895
164	0.1034632137
165	0.102707959
166	0.1023147557
167	0.1016920833
168	0.1008816274
169	0.100367506
170	0.09990498807
171	0.09959133405
172	0.09894875169
173	0.09810378741
174	0.0976949502
175	0.09739847685
176	0.09662252186
177	0.09624667107
178	0.09585150925
179	0.09547394761
180	0.09449372916
181	0.09407464055
182	0.09367170877
183	0.09307794586
184	0.0923907425
185	0.09172538656
186	0.09143573386
187	0.09115370651
188	0.09048746552
189	0.08993571534
190	0.08960933704
191	0.08905621537
192	0.08864374857
193	0.08799335538
194	0.08720003388
195	0.0868710979
196	0.0864291221
197	0.08577858041
198	0.08556197283
199	0.08513192841
200	0.08488658662
201	0.08457540295
202	0.0842911776
203	0.08364850364
204	0.08290267494
205	0.0824763267
206	0.08168697301
207	0.08117554609
208	0.08074446642
209	0.08052333749
210	0.08023562397
211	0.07957788297
212	0.07917070753
213	0.07866568104
214	0.07823141776
215	0.07797959209
216	0.07750289868
217	0.07692760608
218	0.07650911215
219	0.07617370131
220	0.07548248765
221	0.07513500456
222	0.07482638543
223	0.07421702743
224	0.07399527537
225	0.07377090688
226	0.07343444676
227	0.07292600927
228	0.07271509365
229	0.07213763054
230	0.07150442768
231	0.07091344442
232	0.07032178159
233	0.06977456104
234	0.06944634157
235	0.06923570505
236	0.06893995932
237	0.0686435001
238	0.06843251887
239	0.06819419231
240	0.06776098667
241	0.06751729746
242	0.06717455456
243	0.06696735507
244	0.0666503574
245	0.0662879193
246	0.06573042821
247	0.06547139592
248	0.06518419638
249	0.06476589389
250	0.06453161591
251	0.06410759453
252	0.06368609602
253	0.06343062543
254	0.06320479038
255	0.06298725289
256	0.06280572123
257	0.06253759151
258	0.06234508349
259	0.06186953305
260	0.06164776318
261	0.06139453054
262	0.06126490734
263	0.06111239637
264	0.06073486553
265	0.06052387868
266	0.06037765601
267	0.06014073367
268	0.05988421781
269	0.05974239188
270	0.05950260716
271	0.05917697654
272	0.05881356894
273	0.05861159164
274	0.05831235933
275	0.05788331477
276	0.05775130292
277	0.05755991518
278	0.05729651356
279	0.05714462653
280	0.05701396934
281	0.05678934609
282	0.05648465528
283	0.05633616126
284	0.05619887756
285	0.05603433535
286	0.05590748952
287	0.05550856362
288	0.05538128905
289	0.05502685871
290	0.05453946144
291	0.05422546749
292	0.05391006438
293	0.05366987032
294	0.05325549492
295	0.05298765856
296	0.05273591581
297	0.05250264096
298	0.05222138766
299	0.05209010703
